entry_number,pmid,title,details,author,url
8905,32378083,Pathological features of prostate cancer in men treated with robot-assisted radical prostatectomy in the Middle East,J Robot Surg. 2021 Feb;15(1):125-133. doi: 10.1007/s11701-020-01089-0. Epub 2020 May 6.,Aldousari S,https://www.ncbi.nlm.nih.gov/pubmed/32378083
8906,31653564,Impact of timing on salvage radiation therapy adverse events following radical prostatectomy: A secondary analysis of the RTOG 9601 cohort,Urol Oncol. 2020 Feb;38(2):38.e17-38.e22. doi: 10.1016/j.urolonc.2019.09.012. Epub 2019 Oct 23.,Baumgarten L,https://www.ncbi.nlm.nih.gov/pubmed/31653564
8907,32303478,Intermediate-risk Prostate Cancer: Stratification and Management,Eur Urol Oncol. 2020 Jun;3(3):270-280. doi: 10.1016/j.euo.2020.03.002. Epub 2020 Apr 14.,Preisser F,https://www.ncbi.nlm.nih.gov/pubmed/32303478
8908,31942462,Preoperative prostate health index and %p2PSA as the significant biomarkers of postoperative pathological outcomes of prostate cancer in Korean males: A prospective multi-institutional study,Investig Clin Urol. 2020 Jan;61(1):42-50. doi: 10.4111/icu.2020.61.1.42. Epub 2019 Dec 17.,Park H,https://www.ncbi.nlm.nih.gov/pubmed/31942462
8909,32202536,Intraductal carcinoma of the prostate,Pathologica. 2020 Mar;112(1):17-24. doi: 10.32074/1591-951X-5-20.,Szentirmai E,https://www.ncbi.nlm.nih.gov/pubmed/32202536
8910,32203071,Preoperative frailty predicts adverse short-term postoperative outcomes in patients treated with radical prostatectomy,Prostate Cancer Prostatic Dis. 2020 Dec;23(4):573-580. doi: 10.1038/s41391-020-0225-3. Epub 2020 Mar 18.,Rosiello G,https://www.ncbi.nlm.nih.gov/pubmed/32203071
8911,31759076,Plan Selection in Proton Therapy of Locally Advanced Prostate Cancer with Simultaneous Treatment of Multiple Targets,Int J Radiat Oncol Biol Phys. 2020 Mar 1;106(3):630-638. doi: 10.1016/j.ijrobp.2019.11.007. Epub 2019 Nov 20.,Pilskog S,https://www.ncbi.nlm.nih.gov/pubmed/31759076
8912,31549770,Low-dose-rate brachytherapy for prostate cancer: A 15-year experience in Japan,Int J Urol. 2020 Jan;27(1):17-23. doi: 10.1111/iju.14098. Epub 2019 Sep 24.,Tanaka N,https://www.ncbi.nlm.nih.gov/pubmed/31549770
8913,32182149,Prostate cancer: more effective use of underutilized postoperative radiation therapy,Expert Rev Anticancer Ther. 2020 Apr;20(4):241-249. doi: 10.1080/14737140.2020.1743183. Epub 2020 Mar 17.,Motterle G,https://www.ncbi.nlm.nih.gov/pubmed/32182149
8914,31727298,Progress in Low Dose Rate Brachytherapy for Prostate Cancer,Semin Radiat Oncol. 2020 Jan;30(1):39-48. doi: 10.1016/j.semradonc.2019.08.002.,McLaughlin PW,https://www.ncbi.nlm.nih.gov/pubmed/31727298
8915,32091336,"Prostate Cancer: Biology, Incidence, Detection Methods, Treatment Methods, and Vaccines",Curr Top Med Chem. 2020;20(10):847-854. doi: 10.2174/1568026620666200224100730.,Bartzatt R,https://www.ncbi.nlm.nih.gov/pubmed/32091336
8916,31977379,Neoadjuvant Approaches Prior To Radical Prostatectomy,Cancer J. 2020 Jan/Feb;26(1):2-12. doi: 10.1097/PPO.0000000000000424.,Ryan ST,https://www.ncbi.nlm.nih.gov/pubmed/31977379
8917,31724996,Radical cytoreductive prostatectomy in men with prostate cancer and oligometastatic disease,Curr Opin Urol. 2020 Jan;30(1):90-97. doi: 10.1097/MOU.0000000000000691.,Heidenreich A,https://www.ncbi.nlm.nih.gov/pubmed/31724996
8919,31395986,Radical prostatectomy and simultaneous penile prosthesis implantation: a narrative review,Int J Impot Res. 2020 May;32(3):274-280. doi: 10.1038/s41443-019-0176-1. Epub 2019 Aug 8.,Cocci A,https://www.ncbi.nlm.nih.gov/pubmed/31395986
8920,31791573,High Dose Rate Brachytherapy in High-Risk Localised Disease - Why Do Anything Else?,Clin Oncol (R Coll Radiol). 2020 Mar;32(3):163-169. doi: 10.1016/j.clon.2019.11.003. Epub 2019 Nov 30.,Morton GC,https://www.ncbi.nlm.nih.gov/pubmed/31791573
8921,32295542,Both comorbidity and worse performance status are associated with poorer overall survival after external beam radiotherapy for prostate cancer,BMC Cancer. 2020 Apr 15;20(1):324. doi: 10.1186/s12885-020-06812-6.,Lehtonen M,https://www.ncbi.nlm.nih.gov/pubmed/32295542
8922,32015294,Magnetic Resonance Imaging Assessment After Therapy in Prostate Cancer,Top Magn Reson Imaging. 2020 Feb;29(1):47-58. doi: 10.1097/RMR.0000000000000231.,Koopman AGMM,https://www.ncbi.nlm.nih.gov/pubmed/32015294
8924,31712648,Cytoreductive treatment strategies for de novo metastatic prostate cancer,Nat Rev Clin Oncol. 2020 Mar;17(3):168-182. doi: 10.1038/s41571-019-0284-3. Epub 2019 Nov 11.,Connor MJ,https://www.ncbi.nlm.nih.gov/pubmed/31712648
8925,31792431,Financial toxicity associated with treatment of localized prostate cancer,Nat Rev Urol. 2020 Jan;17(1):28-40. doi: 10.1038/s41585-019-0258-3. Epub 2019 Dec 2.,Imber BS,https://www.ncbi.nlm.nih.gov/pubmed/31792431
8926,32157345,Adaptive radiotherapy and the dosimetric impact of inter- and intrafractional motion on the planning target volume for prostate cancer patients,Strahlenther Onkol. 2020 Jul;196(7):647-656. doi: 10.1007/s00066-020-01596-x. Epub 2020 Mar 10.,Böckelmann F,https://www.ncbi.nlm.nih.gov/pubmed/32157345
8928,31811370,The evolution and resurgence of perineal prostatectomy in the robotic surgical era,World J Urol. 2020 Apr;38(4):821-828. doi: 10.1007/s00345-019-03004-1. Epub 2019 Dec 6.,Garisto J,https://www.ncbi.nlm.nih.gov/pubmed/31811370
8929,32475688,Radical retropubic prostatectomy: Origins and evolution of the technique,Actas Urol Esp (Engl Ed). 2020 Jul-Aug;44(6):408-416. doi: 10.1016/j.acuro.2020.03.003. Epub 2020 May 29.,Herranz-Amo F,https://www.ncbi.nlm.nih.gov/pubmed/32475688
8930,32293453,microRNAs identified in prostate cancer: Correlative studies on response to ionizing radiation,Mol Cancer. 2020 Mar 23;19(1):63. doi: 10.1186/s12943-020-01186-6.,Labbé M,https://www.ncbi.nlm.nih.gov/pubmed/32293453
8931,32211965,Effect of observation size and apparent diffusion coefficient (ADC) value in PI-RADS v2.1 assessment category 4 and 5 observations compared to adverse pathological outcomes,Eur Radiol. 2020 Aug;30(8):4251-4261. doi: 10.1007/s00330-020-06725-9. Epub 2020 Mar 24.,Abreu-Gomez J,https://www.ncbi.nlm.nih.gov/pubmed/32211965
8932,32461073,Techniques and Outcomes of Salvage Robot-Assisted Radical Prostatectomy (sRARP),Eur Urol. 2020 Dec;78(6):885-892. doi: 10.1016/j.eururo.2020.05.003. Epub 2020 May 24.,De Groote R,https://www.ncbi.nlm.nih.gov/pubmed/32461073
8933,32442822,A biochemical definition of cure after brachytherapy for prostate cancer,Radiother Oncol. 2020 Aug;149:64-69. doi: 10.1016/j.radonc.2020.04.038. Epub 2020 Apr 27.,Crook JM,https://www.ncbi.nlm.nih.gov/pubmed/32442822
8934,32051551,Focal therapy for localized prostate cancer in the era of routine multi-parametric MRI,Prostate Cancer Prostatic Dis. 2020 Jun;23(2):232-243. doi: 10.1038/s41391-020-0206-6. Epub 2020 Feb 12.,Connor MJ,https://www.ncbi.nlm.nih.gov/pubmed/32051551
8935,32402143,Transvesical robot-assisted radical prostatectomy: initial experience and surgical outcomes,BJU Int. 2020 Aug;126(2):300-308. doi: 10.1111/bju.15111. Epub 2020 Jun 1.,Zhou X,https://www.ncbi.nlm.nih.gov/pubmed/32402143
8936,31705700,Hemi-ablative low-dose-rate prostate brachytherapy for unilateral localised prostate cancer,BJU Int. 2020 Mar;125(3):383-390. doi: 10.1111/bju.14948. Epub 2019 Dec 23.,Langley S,https://www.ncbi.nlm.nih.gov/pubmed/31705700
8937,31695139,Prostate cancer characteristics and cancer-specific mortality of Native American patients,Prostate Cancer Prostatic Dis. 2020 Jun;23(2):277-285. doi: 10.1038/s41391-019-0184-8. Epub 2019 Nov 6.,Deuker M,https://www.ncbi.nlm.nih.gov/pubmed/31695139
8938,31863617,Salvage radical prostatectomy following focal therapy: functional and oncological outcomes,BJU Int. 2020 Apr;125(4):525-530. doi: 10.1111/bju.14976. Epub 2020 Jan 9.,Herrera-Caceres JO,https://www.ncbi.nlm.nih.gov/pubmed/31863617
8939,32122185,Radical radiotherapy for prostate cancer: patterns of care in Sweden 1998-2016,Acta Oncol. 2020 May;59(5):549-557. doi: 10.1080/0284186X.2020.1730003. Epub 2020 Mar 3.,Beckmann K,https://www.ncbi.nlm.nih.gov/pubmed/32122185
8940,32176456,The cytoreductive prostatectomy in metastatic prostate cancer: what the individual trials are hoping to answer,BJU Int. 2020 Jun;125(6):792-800. doi: 10.1111/bju.15055. Epub 2020 Apr 7.,Ranasinghe W,https://www.ncbi.nlm.nih.gov/pubmed/32176456
8941,32487352,Oncological control following partial gland ablation for intermediate-risk prostate cancer,Urol Oncol. 2020 Aug;38(8):671-677. doi: 10.1016/j.urolonc.2020.04.017. Epub 2020 May 31.,Becher E,https://www.ncbi.nlm.nih.gov/pubmed/32487352
8942,32074125,Androgen deprivation therapy for prostate cancer and the risk of hematologic disorders,PLoS One. 2020 Feb 19;15(2):e0229263. doi: 10.1371/journal.pone.0229263. eCollection 2020.,Liu JM,https://www.ncbi.nlm.nih.gov/pubmed/32074125
8943,31977387,Pathologically Node-Positive Prostate Cancer: Casting for Cure When the Die Is Cast?,Cancer J. 2020 Jan/Feb;26(1):58-63. doi: 10.1097/PPO.0000000000000426.,Ginsburg KB,https://www.ncbi.nlm.nih.gov/pubmed/31977387
8944,31830312,Histotripsy: The Next Generation of High-Intensity Focused Ultrasound for Focal Prostate Cancer Therapy,J Ultrasound Med. 2020 Jun;39(6):1057-1067. doi: 10.1002/jum.15191. Epub 2019 Dec 12.,Dubinsky TJ,https://www.ncbi.nlm.nih.gov/pubmed/31830312
8945,30850855,Evolution of definitive external beam radiation therapy in the treatment of prostate cancer,World J Urol. 2020 Mar;38(3):565-591. doi: 10.1007/s00345-019-02661-6. Epub 2019 Mar 8.,Daly T,https://www.ncbi.nlm.nih.gov/pubmed/30850855
8946,32295696,Repeat Radiation for Local Recurrence of Head and Neck Tumors and in Prostate Cancer,Dtsch Arztebl Int. 2020 Mar 6;117(10):167-174. doi: 10.3238/arztebl.2020.0167.,Grün A,https://www.ncbi.nlm.nih.gov/pubmed/32295696
8947,31945379,The Development and Validation of Prostate Cancer-specific Physician-Hospital Networks,Urology. 2020 Apr;138:37-44. doi: 10.1016/j.urology.2019.11.049. Epub 2020 Jan 13.,Jacobs BL,https://www.ncbi.nlm.nih.gov/pubmed/31945379
8948,31734604,MRI-based IMPT planning for prostate cancer,Radiother Oncol. 2020 Mar;144:79-85. doi: 10.1016/j.radonc.2019.10.010. Epub 2019 Nov 14.,Depauw N,https://www.ncbi.nlm.nih.gov/pubmed/31734604
8949,31708350,Single-Dose Focal Salvage High Dose Rate Brachytherapy for Locally Recurrent Prostate Cancer,Clin Oncol (R Coll Radiol). 2020 Apr;32(4):259-265. doi: 10.1016/j.clon.2019.10.008. Epub 2019 Nov 7.,Chitmanee P,https://www.ncbi.nlm.nih.gov/pubmed/31708350
8951,31714369,"Robot-assisted radical prostatectomy vs. open radical prostatectomy: latest evidences on perioperative, functional and oncological outcomes",Curr Opin Urol. 2020 Jan;30(1):73-78. doi: 10.1097/MOU.0000000000000688.,Dell'Oglio P,https://www.ncbi.nlm.nih.gov/pubmed/31714369
8952,32141699,A fast robust optimizer for intensity modulated proton therapy using GPU,J Appl Clin Med Phys. 2020 Mar;21(3):123-133. doi: 10.1002/acm2.12835. Epub 2020 Mar 6.,Xu Y,https://www.ncbi.nlm.nih.gov/pubmed/32141699
8953,31928867,Definition of high-risk prostate cancer impacts oncological outcomes after radical prostatectomy,Urol Oncol. 2020 Apr;38(4):184-190. doi: 10.1016/j.urolonc.2019.12.014. Epub 2020 Jan 9.,Knipper S,https://www.ncbi.nlm.nih.gov/pubmed/31928867
8954,31873779,Image-guided dose-escalated radiation therapy for localized prostate cancer with helical tomotherapy,Strahlenther Onkol. 2020 Mar;196(3):229-242. doi: 10.1007/s00066-019-01562-2. Epub 2019 Dec 23.,Barelkowski T,https://www.ncbi.nlm.nih.gov/pubmed/31873779
8956,31512285,Quality of life in prostate cancer patients receiving particle radiotherapy: A review of the literature,Int J Urol. 2020 Jan;27(1):24-29. doi: 10.1111/iju.14102. Epub 2019 Sep 11.,Kawamura H,https://www.ncbi.nlm.nih.gov/pubmed/31512285
8957,31942652,Focal high-dose-rate brachytherapy for localized prostate cancer: toxicity and preliminary biochemical results,Strahlenther Onkol. 2020 Mar;196(3):222-228. doi: 10.1007/s00066-019-01561-3. Epub 2020 Jan 15.,Prada PJ,https://www.ncbi.nlm.nih.gov/pubmed/31942652
8958,32077006,Post-HIFU locally relapsed prostate cancer: high-dose salvage radiotherapy guided by molecular imaging,Radiol Med. 2020 May;125(5):491-499. doi: 10.1007/s11547-020-01148-4. Epub 2020 Feb 19.,Rigo M,https://www.ncbi.nlm.nih.gov/pubmed/32077006
8959,32756597,Dr. Answer AI for prostate cancer: Clinical outcome prediction model and service,PLoS One. 2020 Aug 5;15(8):e0236553. doi: 10.1371/journal.pone.0236553. eCollection 2020.,Rho MJ,https://www.ncbi.nlm.nih.gov/pubmed/32756597
8960,32004559,Outcomes and Complications After Intervention for Postradiation Prostatic Urethral Stenosis,Urology. 2020 May;139:193-197. doi: 10.1016/j.urology.2019.11.063. Epub 2020 Jan 28.,Smith SM,https://www.ncbi.nlm.nih.gov/pubmed/32004559
8961,32366385,A Review of Stereotactic Body Radiation Therapy in the Management of Oligometastatic Prostate Cancer,Anticancer Res. 2020 May;40(5):2419-2428. doi: 10.21873/anticanres.14211.,Zhang B,https://www.ncbi.nlm.nih.gov/pubmed/32366385
8962,31846391,Associations between Hospital Volume and Outcomes of Robot-Assisted Radical Prostatectomy,J Urol. 2020 May;203(5):926-932. doi: 10.1097/JU.0000000000000698. Epub 2019 Dec 17.,Xia L,https://www.ncbi.nlm.nih.gov/pubmed/31846391
8963,32581061,High dose-rate brachytherapy of localized prostate cancer converts tumors from cold to hot,J Immunother Cancer. 2020 Jun;8(1):e000792. doi: 10.1136/jitc-2020-000792.,Keam SP,https://www.ncbi.nlm.nih.gov/pubmed/32581061
8964,32068493,"The Comparative Outcomes of Radical Prostatectomy versus Radiotherapy for Nonmetastatic Prostate Cancer: A Longitudinal, Population-Based Analysis",J Urol. 2022 Oct;208(4):846-854. doi: 10.1097/JU.0000000000000805. Epub 2020 Feb 18.,Oake JD,https://www.ncbi.nlm.nih.gov/pubmed/32068493
8965,32449896,Peritoneal Flap in Robot-Assisted Radical Prostatectomy,Dtsch Arztebl Int. 2020 Apr 3;117(14):243-250. doi: 10.3238/arztebl.2020.0243.,Bründl J,https://www.ncbi.nlm.nih.gov/pubmed/32449896
8967,32013912,Radiotherapy of prostate cancer: impact of treatment characteristics on the incidence of second tumors,BMC Cancer. 2020 Feb 3;20(1):90. doi: 10.1186/s12885-020-6581-5.,Buwenge M,https://www.ncbi.nlm.nih.gov/pubmed/32013912
8968,32141110,Quality of life in active surveillance for early prostate cancer,Int J Urol. 2020 Apr;27(4):296-306. doi: 10.1111/iju.14202. Epub 2020 Mar 6.,Kato T,https://www.ncbi.nlm.nih.gov/pubmed/32141110
8969,32245911,Patient-reported outcomes after surgery or radiotherapy for localised prostate cancer: a retrospective study,Hong Kong Med J. 2020 Apr;26(2):95-101. doi: 10.12809/hkmj198239. Epub 2020 Apr 2.,Ng CF,https://www.ncbi.nlm.nih.gov/pubmed/32245911
8970,32165116,Neoadjuvant Leuprolide Therapy with Radical Prostatectomy: Long-term Effects on Health-related Quality of Life,Eur Urol Focus. 2021 Jul;7(4):779-787. doi: 10.1016/j.euf.2020.03.001. Epub 2020 Mar 9.,Chen MC,https://www.ncbi.nlm.nih.gov/pubmed/32165116
8971,31742674,Contemporary prostate cancer treatment choices in multidisciplinary clinics referenced to national trends,Cancer. 2020 Feb 1;126(3):506-514. doi: 10.1002/cncr.32570. Epub 2019 Nov 19.,Tang C,https://www.ncbi.nlm.nih.gov/pubmed/31742674
8972,31874245,miR-191 promotes radiation resistance of prostate cancer through interaction with RXRA,Cancer Lett. 2020 Mar 31;473:107-117. doi: 10.1016/j.canlet.2019.12.025. Epub 2019 Dec 23.,Ray J,https://www.ncbi.nlm.nih.gov/pubmed/31874245
8973,32418156,Salvage radiotherapy in patients affected by oligorecurrent pelvic nodal prostate cancer,Clin Transl Oncol. 2020 Dec;22(12):2236-2243. doi: 10.1007/s12094-020-02364-0. Epub 2020 May 16.,Ingrosso G,https://www.ncbi.nlm.nih.gov/pubmed/32418156
8975,32518630,Recent advances in de-intensification of radiotherapy in elderly cancer patients,F1000Res. 2020 May 27;9:F1000 Faculty Rev-447. doi: 10.12688/f1000research.21151.1. eCollection 2020.,Desideri I,https://www.ncbi.nlm.nih.gov/pubmed/32518630
8976,31912470,Factors Predicting Prostate Specific Antigen Failure Following Radical Prostatectomy: Experience with 961 Patients,Urol J. 2020 Jan 4;17(5):486-491. doi: 10.22037/uj.v0i0.5670.,Simforoosh N,https://www.ncbi.nlm.nih.gov/pubmed/31912470
8977,32147556,Prostate Cancer Brain Metastases: A Single-Institution Experience,World Neurosurg. 2020 Jun;138:e445-e449. doi: 10.1016/j.wneu.2020.02.152. Epub 2020 Mar 5.,Bhambhvani HP,https://www.ncbi.nlm.nih.gov/pubmed/32147556
8978,32129297,Erectile dysfunction in prostate cancer patients treated with intensity-modulated radiation therapy,Indian J Cancer. 2020 Jan-Mar;57(1):70-75. doi: 10.4103/ijc.IJC_465_18.,Yildirim HC,https://www.ncbi.nlm.nih.gov/pubmed/32129297
8979,31977386,Clinically Lymph Node Positive Prostate Cancer: At the Intersection of Focal and Systemic Disease Control,Cancer J. 2020 Jan/Feb;26(1):53-57. doi: 10.1097/PPO.0000000000000421.,Reichert ZR,https://www.ncbi.nlm.nih.gov/pubmed/31977386
8980,33085712,68Ga-PSMA-PET/CT-based radiosurgery and stereotactic body radiotherapy for oligometastatic prostate cancer,PLoS One. 2020 Oct 21;15(10):e0240892. doi: 10.1371/journal.pone.0240892. eCollection 2020.,Kalinauskaite G,https://www.ncbi.nlm.nih.gov/pubmed/33085712
8981,32075389,Long-Term Clinical Results of IGRT in Prostate Cancer Treatment,Klin Onkol. 2020 Winter;33(1):49-54. doi: 10.14735/amko202049.,Doležel M,https://www.ncbi.nlm.nih.gov/pubmed/32075389
8982,32001144,Management of Patients with Advanced Prostate Cancer: Report of the Advanced Prostate Cancer Consensus Conference 2019,Eur Urol. 2020 Apr;77(4):508-547. doi: 10.1016/j.eururo.2020.01.012. Epub 2020 Jan 27.,Gillessen S,https://www.ncbi.nlm.nih.gov/pubmed/32001144
8983,31977382,Comparing Radiotherapy to Prostatectomy for High-Risk Prostate Cancer: A Narrative Review of Mortality and Quality-of-Life Outcomes,Cancer J. 2020 Jan/Feb;26(1):29-37. doi: 10.1097/PPO.0000000000000420.,Greenberger BA,https://www.ncbi.nlm.nih.gov/pubmed/31977382
8985,32111781,Clinical Outcomes of Dose-escalated Radiotherapy for Localised Prostate Cancer: A Single-institution Experience,In Vivo. 2020 Mar-Apr;34(2):757-765. doi: 10.21873/invivo.11835.,Meng K,https://www.ncbi.nlm.nih.gov/pubmed/32111781
8986,32167866,Prospective Evaluation of Focal High Intensity Focused Ultrasound for Localized Prostate Cancer,J Urol. 2020 Sep;204(3):483-489. doi: 10.1097/JU.0000000000001015. Epub 2020 Mar 13.,Nahar B,https://www.ncbi.nlm.nih.gov/pubmed/32167866
8987,32073662,Validation of a subclassification for high-risk prostate cancer in a prospective cohort,Cancer. 2020 May 15;126(10):2132-2138. doi: 10.1002/cncr.32778. Epub 2020 Feb 19.,Butler SS,https://www.ncbi.nlm.nih.gov/pubmed/32073662
8988,31994469,The Effect of Prostate Cancer Radiotherapy on Testosterone Level: A Systematic Review and Meta-analysis,Anticancer Agents Med Chem. 2020;20(6):636-642. doi: 10.2174/1871520620666200128112558.,Mortezaee K,https://www.ncbi.nlm.nih.gov/pubmed/31994469
8989,31537483,Positive surgical margins at radical prostatectomy in the United States: Institutional variations and predictive factors,Urol Oncol. 2020 Jan;38(1):1.e17-1.e23. doi: 10.1016/j.urolonc.2019.08.016. Epub 2019 Sep 16.,Pooli A,https://www.ncbi.nlm.nih.gov/pubmed/31537483
8991,31721011,Influence of the technique and comorbidities in hypofractionated radiotherapy for prostate cancer,Clin Transl Oncol. 2020 Mar;22(3):311-318. doi: 10.1007/s12094-019-02224-6. Epub 2019 Nov 12.,Correa R,https://www.ncbi.nlm.nih.gov/pubmed/31721011
8992,31612318,Postoperative biochemical recurrence of pathologically localized high-grade prostate cancer in adjuvant treatment-naïve patients,J Cancer Res Clin Oncol. 2020 Jan;146(1):221-227. doi: 10.1007/s00432-019-03049-0. Epub 2019 Oct 14.,Heo JE,https://www.ncbi.nlm.nih.gov/pubmed/31612318
8993,31735619,The Relationship and Psychosocial Impact of Arousal Incontinence After Radical Prostatectomy,J Sex Med. 2020 Jan;17(1):94-98. doi: 10.1016/j.jsxm.2019.09.001. Epub 2019 Nov 15.,Salter CA,https://www.ncbi.nlm.nih.gov/pubmed/31735619
8994,31894469,The ongoing dilemma in pelvic lymph node dissection during radical prostatectomy: who should decide and in which patients?,J Robot Surg. 2020 Aug;14(4):549-558. doi: 10.1007/s11701-019-01041-x. Epub 2020 Jan 1.,Onol FF,https://www.ncbi.nlm.nih.gov/pubmed/31894469
8997,31837989,Favorable preservation of erectile function after prostate brachytherapy for localized prostate cancer,Brachytherapy. 2020 Mar-Apr;19(2):222-227. doi: 10.1016/j.brachy.2019.11.003. Epub 2019 Dec 16.,Bazinet A,https://www.ncbi.nlm.nih.gov/pubmed/31837989
8998,32249178,Cesium-131 prostate brachytherapy: A single institutional long-term experience,Brachytherapy. 2020 May-Jun;19(3):298-304. doi: 10.1016/j.brachy.2020.02.006. Epub 2020 Apr 2.,Benoit RM,https://www.ncbi.nlm.nih.gov/pubmed/32249178
8999,32220891,"Oncogenic Genomic Alterations, Clinical Phenotypes, and Outcomes in Metastatic Castration-Sensitive Prostate Cancer",Clin Cancer Res. 2020 Jul 1;26(13):3230-3238. doi: 10.1158/1078-0432.CCR-20-0168. Epub 2020 Mar 27.,Stopsack KH,https://www.ncbi.nlm.nih.gov/pubmed/32220891
9000,32359937,COVID-19 impact on timing of brachytherapy treatment and strategies for risk mitigation,Brachytherapy. 2020 Jul-Aug;19(4):401-411. doi: 10.1016/j.brachy.2020.04.005. Epub 2020 Apr 21.,Williams VM,https://www.ncbi.nlm.nih.gov/pubmed/32359937
9001,31679137,Clinical characteristics and outcomes of robot-assisted laparoscopic radical prostatectomy in HIV-positive patients: a nationwide population-based analysis,Int Urol Nephrol. 2020 Mar;52(3):481-487. doi: 10.1007/s11255-019-02321-z. Epub 2019 Nov 2.,Han H,https://www.ncbi.nlm.nih.gov/pubmed/31679137
9002,31653565,Androgen deprivation therapy in men with node-positive prostate cancer treated with postoperative radiotherapy,Urol Oncol. 2020 Apr;38(4):204-209. doi: 10.1016/j.urolonc.2019.09.018. Epub 2019 Oct 23.,Bravi CA,https://www.ncbi.nlm.nih.gov/pubmed/31653565
9003,31629640,Comparison of outcome endpoints in intermediate- and high-risk prostate cancer after combined-modality radiotherapy,Brachytherapy. 2020 Jan-Feb;19(1):24-32. doi: 10.1016/j.brachy.2019.09.001. Epub 2019 Oct 16.,Boehle A,https://www.ncbi.nlm.nih.gov/pubmed/31629640
9004,31932660,GLUT1 expression in high-risk prostate cancer: correlation with (18)F-FDG-PET/CT and clinical outcome,Prostate Cancer Prostatic Dis. 2020 Sep;23(3):441-448. doi: 10.1038/s41391-020-0202-x. Epub 2020 Jan 13.,Meziou S,https://www.ncbi.nlm.nih.gov/pubmed/31932660
9007,32229268,Prognostic Value of Gleason Score at Positive Surgical Margin in Prostate Cancer: A Systematic Review and Meta-analysis,Clin Genitourin Cancer. 2020 Oct;18(5):e517-e522. doi: 10.1016/j.clgc.2020.02.011. Epub 2020 Mar 4.,Lysenko I,https://www.ncbi.nlm.nih.gov/pubmed/32229268
9008,31942457,"Lessons learned from 12,000 robotic radical prostatectomies: Is the journey as important as the outcome?",Investig Clin Urol. 2020 Jan;61(1):1-10. doi: 10.4111/icu.2020.61.1.1. Epub 2020 Jan 2.,Kang SG,https://www.ncbi.nlm.nih.gov/pubmed/31942457
9009,32453443,Patterns of metastases of prostatic ductal adenocarcinoma,Cancer. 2020 Aug 15;126(16):3667-3673. doi: 10.1002/cncr.32957. Epub 2020 May 26.,Ranasinghe WKB,https://www.ncbi.nlm.nih.gov/pubmed/32453443
