entry_number,pmid,title,details,author,url,abstract
21454,33811409,Long-term clinical outcomes of external beam radiation therapy for oligometastatic prostate cancer: A combination of prostate-targeted treatment and metastasis-directed therapy,Int J Urol. 2021 Jul;28(7):749-755. doi: 10.1111/iju.14567. Epub 2021 Apr 2.,Aizawa R,https://www.ncbi.nlm.nih.gov/pubmed/33811409,"OBJECTIVE: To assess the efficacy of combination of prostate-targeted treatment and metastasis-directed therapy for oligometastatic prostate cancer. METHODS: We retrospectively evaluated the clinical outcomes of synchronously diagnosed oligometastatic prostate cancer patients treated with external beam radiation therapy for the prostate and all metastatic lesions (≤3 lesions) at Kyoto University Hospital between January 2004 and April 2019. The prescribed dose was basically ≥70 Gy for the prostate with or without whole pelvic irradiation, and ≥45 Gy for the metastatic lesions. Clinical outcomes were compared with a contemporary cohort of 55 synchronous oligometastatic prostate cancer patients treated with the standard of care. RESULTS: In total, 16 consecutive patients with synchronous oligometastatic prostate cancer were analyzed. The median follow-up period was 7.4 years. The 8-year overall survival, prostate cancer-specific survival, biochemical failure-free, clinical failure-free and castration-resistant prostate cancer-free rates were 64.8%, 71.3%, 38.5%, 47.3% and 67.3%, respectively. No grade 3 or higher radiation-induced late toxicities occurred. Patients with prostate-targeted treatment plus metastasis-directed therapy had a significantly higher castration-resistant prostate cancer-free rate than those without prostate-targeted treatment plus metastasis-directed therapy (P = 0.00741). CONCLUSIONS: Prostate-targeted treatment plus metastasis-directed therapy through external beam radiation therapy can result in favorable long-term disease-free and survival outcomes with acceptable morbidities among synchronous oligometastatic prostate cancer patients. Therefore, this approach may represent a promising treatment strategy for this population. Further investigation is required."
21455,34375163,Analysis of oncological outcomes of whole-gland therapy with high-intensity focused ultrasound for localized prostate cancer in clinical and technical aspects: a retrospective consecutive case-series analysis with a median 5-year follow-up,Int J Hyperthermia. 2021;38(1):1205-1216. doi: 10.1080/02656736.2021.1945150.,Shoji S,https://www.ncbi.nlm.nih.gov/pubmed/34375163,"PURPOSE: This study aimed to analyze technical and clinical factors related to oncological outcomes in patients with localized prostate cancer (PC) who were treated with whole-gland high-intensity focused ultrasound (HIFU). MATERIALS AND METHODS: From 2007-2014, patients diagnosed with localized PC who underwent whole-gland HIFU were consecutively included retrospectively. Biochemical failure was defined according to the Phoenix ASTRO guidelines. The relationship between oncological outcomes and technical and clinical factors was evaluated. RESULTS: The study cohort included 428 patients. The median age was 67 years, and the median prostate-specific antigen level was 7.61 ng/mL. Patient risk classifications were low (<i>n</i> = 102), intermediate (<i>n</i> = 240), and high (<i>n</i> = 86). Biochemical disease-free survival rates of patients with HIFU for localized PC in the total, low-, intermediate-, and high-risk groups according to D'Amico risk groups over a median follow-up period of 5 years (range 9-144) were 68.4%, 80.4%, 65.6%, and 61.6%, respectively. In multivariate logistic regression analyses to predict biochemical failure of the treatment, neoadjuvant hormonal therapy (NHT) in the high-risk group (OR 0.225, <i>p</i> = 0.015), and compression method in the low- (OR 0.178, <i>p</i> = 0.030), intermediate- (OR0.291, <i>p</i> < 0.0001), and high-risk (OR 0.316, <i>p</i> = 0.049) groups were significant factors that reduced the risk of biochemical failure after treatment. There were no significant differences in complications between patients treated with compression and those treated conventionally. CONCLUSIONS: NHT may potentially improve oncological outcomes for patients in the high-risk group, and compression methods can improve the oncological outcomes of whole-gland therapy with HIFU."
21456,33835309,Stereotactic body radiotherapy for oligometastatic castration sensitive prostate cancer using 1.5 T MRI-Linac: preliminary data on feasibility and acute patient-reported outcomes,Radiol Med. 2021 Jul;126(7):989-997. doi: 10.1007/s11547-021-01352-w. Epub 2021 Apr 9.,Mazzola R,https://www.ncbi.nlm.nih.gov/pubmed/33835309,"OBJECTIVES: To report preliminary data on feasibility and patient-reported outcomes following PSMA-PET/CT guided SBRT by means of 1.5 T MRI-Linac. METHODS AND MATERIALS: Between October 2019 and April 2020, twenty consecutive castration sensitive oligorecurrent prostate cancer patients were enrolled in an ethical committee approved prospective observational study (Protocol n. XXXX) and treated with PSMA-PET/CT guided SBRT by means of 1.5 T MRI-Linac (Unity, Elekta AB, Stockholm, Sweden). The mean delivered dose was 35 Gy in 5 fractions. Clinicians reported toxicity was prospectively collected according to Common Terminology Criteria for Adverse Events v5.0. Quality of life (QoL) assessment was performed using EORTC-QLQ C30 questionnaires administered at baseline, end of treatment and at first follow-up. RESULTS: Twenty-five lesions in 20 castration sensitive oligorecurrent patients were treated: the most commonly treated anatomic sites were nodal (n = 16) and pelvic bone (n = 9). Median PSA-value preMRI guided SBRT was 1.16 ng/mL (range, 0.27-8.9), whereas median PSA value at first follow-up after SBRT was 0.44 ng/mL (range, 0.06-8.15). At first follow-up, for 16 patients showing detectable PSA, PSMA-PET/CT was performed detecting, respectively, in 6 cases partial response and in 10 cases complete response. In the remaining cases, PSA-value was undetectable after SBRT. Radiotherapy treatment was safe and well tolerated according to the PROMs. No acute G2 or higher toxicities were recorded. CONCLUSIONS: The current series represent the largest one exploring the feasibility and patient-reported outcomes following PSMA-PET/CT guided SBRT by means of 1.5 T MRI-Linac. The preliminary findings here reported are encouraging in terms of effectiveness and tolerability."
21457,32236662,"Vesico-urethral anastomotic stenosis following radical prostatectomy: a multi-institutional outcome analysis with a focus on endoscopic approach, surgical sequence, and the impact of radiation therapy",World J Urol. 2021 Jan;39(1):89-95. doi: 10.1007/s00345-020-03157-4. Epub 2020 Mar 31.,Pfalzgraf D,https://www.ncbi.nlm.nih.gov/pubmed/32236662,"OBJECTIVES: To investigate the predictors of recurrence and of de novo incontinence in patients treated by transurethral incision or resection for vesico-urethral anastomotic stenosis (VUAS) after radical prostatectomy. MATERIAL AND METHODS: All patients undergoing endoscopic treatment for VUAS between March 2009 and October 2016 were identified in our multi-institutional database. Digital chart reviews were performed and patients contacted for follow-up. Recurrence was defined as any need for further instrumentation or surgery, and de-novo-incontinence as patient-reported outcome. RESULTS: Of 103 patients undergoing endoscopic VUAS treatment, 67 (65%) underwent transurethral resection (TR) and 36 (35%) transurethral incision (TI). TI was performed more frequently as primary treatment compared to TR (58% vs. 37%; p = 0.041). Primary and repeated treatment was performed in 46 (45%) and 57 patients (55%), respectively. Overall, 38 patients (37%) had a history of radiation therapy. There was no difference in time to recurrence for primary vs repeat VUAS treatment, previous vs no radiation, TR compared to TI (all p > 0.08). Regarding treatment success, no difference was found for primary vs. repeat VUAS treatment (50% vs. 37%), previous radiation vs. no radiation (42% vs. 43%), and TR vs. TI (37% vs. 53%; all p ≥ 0.1). Postoperative de novo incontinence was more common after TI vs. TR (31% vs. 12%; p = 0.032), no difference was observed for previous radiation therapy vs. no radiation therapy (18% vs. 18%; p > 0.9) or primary vs. repeat VUAS treatment (22% vs. 16%; p = 0.5). CONCLUSION: VUAS recurrence after endoscopic treatment is not predictable. Endoscopic treatment with TI showed a higher risk for de novo incontinence than TR, and previous irradiation and the number of treatments do not influence incontinence."
21459,33743409,Outcomes and toxicities of re-irradiation for prostate cancer: A systematic review on behalf of the Re-Irradiation Working Group of the Italian Association of Radiotherapy and Clinical Oncology (AIRO),Cancer Treat Rev. 2021 Apr;95:102176. doi: 10.1016/j.ctrv.2021.102176. Epub 2021 Mar 8.,Munoz F,https://www.ncbi.nlm.nih.gov/pubmed/33743409,"AIMS: The best therapeutic approach for local relapses of previously irradiated prostate cancer (PC) is still not defined. Re-irradiation (Re-I) could offer a chance of cure for highly selected patients, although high quality evidences are lacking. The aim of our study is to provide a literature review on efficacy and safety of Re-I. METHODS: Only studies where Re-I field overlaps with previous radiotherapy were considered. To determine 2 and 4 years overall mortality (OM), 2 and 4 years biochemical failure (BF) and pooled acute and late G ≥ 3 toxicities rate, a meta-analysis over single arm study was performed. RESULTS: Thirty-eight studies with 1194 patients were included. Median follow-up from Re-I was 30 months (10-94 months). Brachytherapy (BRT) was the most used Re-I technique (27 studies), followed by Stereotactic Body Radiotherapy (SBRT) (9) and External Beam Radiation Therapy (EBRT) (2). Re-I prescription doses ranged from 19 Gy in single HDR fraction to 145 Gy (interstitial BRT). The pooled 2 and 4 years OM rates were 2.1% (95%CI:1.1-3.7%, P < 0.001) and 12.5% (95%CI:8.1-19.5%; P < 0.001). The pooled 2 years BF rate was 24% (95% CI: 19.1-30.2%, P < 0.001). The pooled 4 years BF was 35.6% (95% CI: 28.7-44.3%, P < 0.001). The pooled result of G ≥ 3 acute toxicity was 1.4% (95%CI: 0.7-3%, P < 0.001). One hundred and three G ≥ 3 late adverse events were reported, with a pooled result of G ≥ 3 late toxicity of 8.7% (95%CI: 5.8-13%, P < 0.001). CONCLUSIONS: Re-I of local failures from PC showed promising OM and biochemical control rates with a safe toxicity profile."
21461,33406542,Benefits and harms of the new prostate cancer grade grouping on the prediction of long-term oncological outcomes in patients after radical prostatectomy,Int J Urol. 2021 Apr;28(4):390-395. doi: 10.1111/iju.14471. Epub 2021 Jan 6.,Milonas D,https://www.ncbi.nlm.nih.gov/pubmed/33406542,"OBJECTIVE: To investigate whether the new prostate cancer grade groups model provides significant predictive value and better patient stratification on tumor progression after radical prostatectomy compared with the former Gleason grading models. METHODS: Men treated at a tertiary center by radical prostatectomy between 2005 and 2017 were analyzed. The outcomes of interest were clinical progression-free and cancer-specific survival. Multivariate Cox regression analysis, C-index and decision curve analysis were carried out using three-tier (Gleason score 6, 7 and 8-10), four-tier (Gleason score 6, 7, 8 and 9-10) and new grade groups model. RESULTS: In total, 1759 men were included in the analysis. At a median of 87 months (interquartile range 51-134 months) of follow up, clinical progression was detected in 78 (4.4%) and cancer-related death in 42 (2.4%) patients. The hazard ratio of clinical progression-free was 2.3, 5.7, 5.2 and 29.5; the hazard ratio of cancer-specific survival was 1.7, 3.2, 4.8 and 11.8 in the grade groups 2-5, relative to grade group 1, respectively. The grade groups model had higher C-index in comparison with four- and three-tier grading models for clinical progression-free survival 0.88 versus 0.85 versus 0.83 and for cancer-specific survival 0.82 versus 0.80 versus 0.80, respectively. In the decision curve analysis, the grade groups model shows marginally better net benefit on clinical progression-free and cancer-specific survival. CONCLUSIONS: The new model shows better performance in comparison with former Gleason grading models on the prediction of long-term oncological outcomes."
21462,33952556,Clinical outcomes associated with prostate cancer conspicuity on biparametric and multiparametric MRI: a protocol for a systematic review and meta-analysis of biochemical recurrence following radical prostatectomy,BMJ Open. 2021 May 5;11(5):e047664. doi: 10.1136/bmjopen-2020-047664.,Morka N,https://www.ncbi.nlm.nih.gov/pubmed/33952556,"INTRODUCTION: There is an increasing body of evidence to suggest that visibility of prostate cancer on magnetic resonance (MRI) may be related to likelihood of adverse pathological outcomes. Biochemical recurrence (BCR) after radical prostatectomy remains a significant clinical challenge and a means of predicting likelihood of this prior to surgery could inform treatment choice. It appears that MRI could be a potential candidate strategy for BCR prediction, and as such, there is a need to review extant literature on the prognostic capability of MRI. Here, we describe a protocol for a systematic review and meta-analysis of the utility of biparametric MRI (bpMRI) and multiparametric MRI (mpMRI) in predicting BCR following radical prostatectomy for prostate cancer treatment. METHODS AND ANALYSIS: PubMed, MEDLINE, Embase and Cochrane databases will be searched and screening will be guided by the Preferred Reporting Items for Systematic Reviews and Meta-analyses (PRISMA) guidelines. In order to meet the inclusion criteria, papers must be English-language articles involving patients who have had bpMRI or mpMRI for suspected prostate cancer and have undergone radical prostatectomy as definitive therapy. Patients must have had prostate-specific antigen monitoring before and after surgery. All relevant papers published from July 1977 to October 2020 will be eligible for inclusion. The Newcastle-Ottawa score will be used to determine the quality and bias of the studies. This protocol is written in-line with the PRISMA protocol 2015 checklist. ETHICS AND DISSEMINATION: There are no relevant ethical concerns. Dissemination of this protocol will be via peer-reviewed journals as well as national and international conferences. PROSPERO REGISTRATION NUMBER: CRD42020206074."
21463,31076357,Prediction of Organ-confined Disease in High- and Very-high-risk Prostate Cancer Patients Staged with Magnetic Resonance Imaging: Implications for Clinical Trial Design,Eur Urol Focus. 2021 Jan;7(1):71-77. doi: 10.1016/j.euf.2019.04.016. Epub 2019 May 8.,Reichard CA,https://www.ncbi.nlm.nih.gov/pubmed/31076357,"BACKGROUND: High-risk (HR) prostate cancer (PCa) is a heterogeneous disease leading to difficulties in designing appropriate inclusion criteria for clinical trials. OBJECTIVE: To describe clinical predictors of organ-confined disease in HR or very-high-risk (VHR) PCa patients staged with multiparametric magnetic resonance imaging with endorectal coil (mp-MRI-ER). DESIGN, SETTING, AND PARTICIPANTS: We reviewed 366 HR/VHR PCa patients who had preoperative mp-MRI-ER, and underwent radical prostatectomy and extended pelvic lymph node dissection between 2006 and 2015. INTERVENTION: Radical prostatectomy with preoperative mp-MRI-ER. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: We used multivariable logistic regression modeling to assess for associations with ≤ pT2N0 stage and multivariable cox modeling to assess for associations with biochemical failure. RESULTS AND LIMITATIONS: Of 366 patients, 132 had ≤ pT2N0 disease. For the entire cohort, negative staging mp-MRI-ER (odds ratio [OR] 1.73, 95% confidence interval [CI] 1.06-2.83, p =  0.03), lower prostate-specific antigen (PSA; OR 0.98, 95% CI 0.97-1.00, p =  0.02), and fewer cores of Gleason ≥8 cancer (OR 0.86, 95% CI 0.79-0.93, p =  0.0002) were associated with ≤pT2N0 disease. In HR patients only, negative mp-MRI-ER (OR 3.41, 95% CI 1.73-6.72, p =  0.0004) and fewer than four cores of Gleason ≥8 disease (OR 3.38, 95% CI 1.20-9.56, p =  0.02) were still associated with ≤pT2N0 disease. Lack of non-organ-confined disease on MRI was associated with superior biochemical recurrence-free survival (p =  0.02). Limitations of this study include lack of a central review or quality control of the MRI reporting. CONCLUSIONS: In HR PCa, negative staging mp-MRI-ER, fewer positive cores of Gleason >8, and lower PSA were significant predictors of pathologic organ-confined disease. Improved prediction of organ-confined disease in HR patients may allow for their inclusion into studies evaluating treatments from which they would otherwise be excluded based solely on their HR status. PATIENT SUMMARY: In patients with high-risk prostate cancer, prostate magnetic resonance imaging along with other clinical parameters may help determine which patients are likely to have disease confined to the prostate and thus be eligible for clinical trials that they otherwise might be excluded from based on their high-risk status alone."
21464,33704378,Safety and Efficacy of Virtual Prostatectomy With Single-Dose Radiotherapy in Patients With Intermediate-Risk Prostate Cancer: Results From the PROSINT Phase 2 Randomized Clinical Trial,JAMA Oncol. 2021 May 1;7(5):700-708. doi: 10.1001/jamaoncol.2021.0039.,Greco C,https://www.ncbi.nlm.nih.gov/pubmed/33704378,"IMPORTANCE: Ultra-high single-dose radiotherapy (SDRT) represents a potential alternative to curative extreme hypofractionated stereotactic body radiotherapy (SBRT) in organ-confined prostate cancer. OBJECTIVE: To compare toxic effect profiles, prostate-specific antigen (PSA) responses, and quality-of-life end points of SDRT vs extreme hypofractionated SBRT. DESIGN, SETTING, AND PARTICIPANTS: The PROSINT single-institution phase 2 randomized clinical trial accrued, between September 2015 and January 2017, 30 participants with intermediate-risk prostate cancer to receive SDRT or extreme hypofractionated SBRT. Androgen deprivation therapy was not permitted. Data were analyzed from March to May 2020. INTERVENTIONS: Patients were randomized in a 1:1 ratio to receive 5 × 9 Gy SBRT (control arm) or 24 Gy SDRT (test arm). MAIN OUTCOMES AND MEASURES: The primary end point was toxic effects; the secondary end points were PSA response, PSA relapse-free survival, and patient-reported quality of life measured with the International Prostate Symptom Score (IPSS) and Expanded Prostate Cancer Index Composite (EPIC)-26 questionnaires. RESULTS: A total of 30 men were randomized; median (interquartile range) age was 66.3 (61.2-69.9) and 73.6 (64.7-75.9) years for the SBRT and SDRT arms, respectively. Time to appearance and duration of acute and late toxic effects were similar in the 2 trial arms. Cumulative late actuarial urinary toxic effects did not differ for grade 1 (hazard ratio [HR], 0.41; 90% CI, 0.13-1.27) and grade 2 or greater (HR, 1.07; 90% CI, 0.21-5.57). Actuarial grade 1 late gastrointestinal (GI) toxic effects were comparable (HR, 0.37; 90% CI, 0.07-1.94) and there were no grade 2 or greater late GI toxic effects. Declines in PSA level to less than 0.5 ng/mL occurred by 36 months in both study arms. No PSA relapses occurred in favorable intermediate-risk disease, while in the unfavorable category, the actuarial 4-year PSA relapse-free survival values were 75.0% vs 64.0% (HR, 0.76; 90% CI, 0.17-3.31) for SBRT vs SDRT, respectively. The EPIC-26 median summary scores for the genitourinary and GI domains dropped transiently at 1 month and returned to pretreatment scores by 3 months in both arms. The IPSS-derived transient late urinary flare symptoms occurred at 9 to 18 months in 20% (90% CI, 3%-37%) of patients receiving SDRT. CONCLUSIONS AND RELEVANCE: In this randomized clinical trial among patients with intermediate-risk prostate cancer, SDRT was safe and associated with low toxicity, and the tumor control and quality-of-life end points closely match the SBRT arm outcomes. Further studies are encouraged to explore indications for SDRT in the cure of prostate cancer. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT02570919."
21465,33535796,Regional Lymph Node Metastasis on Prostate Specific Membrane Antigen Positron Emission Tomography Correlates with Decreased Biochemical Recurrence-Free and Therapy-Free Survival after Radical Prostatectomy: A Retrospective Single-Center Single-Arm Observational Study,J Urol. 2021 Jun;205(6):1663-1670. doi: 10.1097/JU.0000000000001596. Epub 2021 Feb 4.,Amiel T,https://www.ncbi.nlm.nih.gov/pubmed/33535796,"PURPOSE: We sought to address the impact of preoperative prostate specific membrane antigen (PSMA) positron emission tomography (PET) findings prior to radical prostatectomy and pelvic lymph node dissection on biochemical recurrence and time to adjuvant or salvage treatment. MATERIALS AND METHODS: Between 2013 and 2017, 64 intermediate and 166 high risk (230) prostate cancer patients received <sup>68</sup>Ga-PSMA-11 PET followed by radical prostatectomy and pelvic lymph node dissection. Biochemical recurrence-free and therapy-free survivalwere determined. For all time-to-event analyses, univariable and multivariable Cox proportional hazards models and univariable Kaplan-Meier analyses were applied, with a significance threshold of p <0.05. RESULTS: The overall sensitivity, specificity, positive predictive value and negative predictive value of PSMA PET for pN1 disease was 48.5%, 95.7%, 82.1% and 82.2%, respectively. Median followup was 30.2 months. Biochemical recurrence occurred in 50.4% (116) of patients and adjuvant or salvage treatment was performed in 46.5% (107). Worst biochemical recurrence-free and therapy-free survival was observed in pN1 patients who also exhibited PSMA PET positive lymph node, followed by pN1 patients without PSMA PET positive lymph node and patients without evidence of lymph node metastasis on histology and PSMA PET (median biochemical recurrence-free survival 1.7 vs. 7.5 vs. >36 months, median therapy-free survival 2.6 vs. 8.9 vs. >36 months). CONCLUSIONS: Patients with positive lymph node on PSMA PET prior to radical prostatectomy have to expect early biochemical recurrence and adjuvant/salvage therapy, despite thorough pelvic lymph node dissection. Therefore, results from PSMA PET can be used for patients' consultation and more stringent followup as well as for planning of neoadjuvant/adjuvant therapy."
21466,34020931,Phase 3 Randomized Controlled Trial of Androgen Deprivation Therapy with or Without Docetaxel in High-risk Biochemically Recurrent Prostate Cancer After Surgery (TAX3503),Eur Urol Oncol. 2021 Aug;4(4):543-552. doi: 10.1016/j.euo.2021.04.008. Epub 2021 May 18.,Morris MJ,https://www.ncbi.nlm.nih.gov/pubmed/34020931,"BACKGROUND: No standard of care exists for patients with high-risk biochemical recurrence (BCR) after prostatectomy. OBJECTIVE: To evaluate whether addition of docetaxel to androgen deprivation therapy (ADT) improved progression-free survival (PFS) in high-risk BCR patients. DESIGN, SETTING, AND PARTICIPANTS: TAX3503 was a multicenter phase 3 trial that randomized patients with high-risk BCR to ADT for 18 mo ± docetaxel (75 mg/m<sup>2</sup> q3w for ten cycles). Eligibility included prostate-specific antigen (PSA) ≥1.0 ng/ml after prostatectomy alone or after postoperative radiation therapy, PSA doubling time ≤9 mo, and absence of metastases on computed tomography and bone scintigraphy. OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS: The primary endpoint was PFS following testosterone recovery to noncastrate levels (testosterone >50 ng/dl). Secondary endpoints included time to testosterone recovery, overall survival (OS), quality of life, and safety. RESULTS AND LIMITATIONS: Between September 2007 and May 2011, 413 patients were assigned to ADT ± docetaxel. In 2012, following completion of accrual and treatment, the sponsor withdrew support of the study, and in 2013, a registry was created to secure the primary endpoint. The final analysis included data from the original trial and registry. At a median follow-up of 33.6 mo, 260 patients demonstrated testosterone recovery, which occurred similarly between groups. ADT plus docetaxel trended toward a nonclinically meaningful improvement in PFS (median 26.2 vs 24.7 mo) for the testosterone-recovered population (218 events, hazard ratio [HR] 0.80, 95% confidence interval [CI] 0.61-1.04) and in OS for the intention-to-treat population (medians not reached, HR 0.51, 95% CI 0.23-1.10). Grade ≥3 adverse events occurred more frequently in the ADT plus docetaxel group (48.0% vs 10.8%). CONCLUSIONS: TAX3503 did not demonstrate a meaningful benefit of adding docetaxel to ADT in patients with high-risk BCR. Testosterone recovery was unaffected by addition of docetaxel to ADT. PATIENT SUMMARY: Addition of docetaxel to androgen deprivation therapy did not meaningfully improve outcomes for men with high-risk biochemically recurrent prostate cancer."
21467,33547208,"Diagnostic Value, Oncologic Outcomes, and Safety Profile of Image-Guided Surgery Technologies During Robot-Assisted Lymph Node Dissection with Sentinel Node Biopsy for Prostate Cancer",J Nucl Med. 2021 Oct;62(10):1363-1371. doi: 10.2967/jnumed.120.259788. Epub 2021 Feb 5.,Mazzone E,https://www.ncbi.nlm.nih.gov/pubmed/33547208,"Despite good sensitivity and a good negative predictive value, the implementation of sentinel node biopsy (SNB) in robot-assisted radical prostatectomy with extended pelvic lymph node dissection (ePLND) for prostate cancer is still controversial. For this reason, we aimed to define the added value of SNB (with different tracer modalities) to ePLND in the identification of nodal metastases. Complication rates and oncologic outcomes were also assessed. <b>Methods:</b> From January 2006 to December 2019, prospectively collected data were retrospectively analyzed from a single-institution database regarding prostate cancer patients treated with robot-assisted radical prostatectomy and ePLND with or without additional use of SNB, either with the hybrid tracer indocyanine green (ICG)-<sup>99m</sup>Tc-nanocolloid or with free ICG. Multivariable logistic and Cox regression models tested the impact of adding SNB (either with the hybrid tracer or with free ICG) on lymph nodal invasion detection, complications, and oncologic outcomes. <b>Results:</b> Overall, 1,680 patients were included in the final analysis: 1,168 (69.5%) in the non-SNB group, 161 (9.6%) in the ICG-SNB group, and 351 (20.9%) in the hybrid-SNB group. The hybrid-SNB group (odds ratio, 1.61; 95%CI, 1.18-2.20; <i>P</i> = 0.002) was an independent predictor of nodal involvement, whereas the ICG-SNB group did not reach independent predictor status when compared with the non-SNB group (odds ratio, 1.35; 95%CI, 0.89-2.03; <i>P</i> = 0.1). SNB techniques were not associated with higher rates of complications. Lastly, use of hybrid SNB was associated with lower rates of biochemical recurrence (0.79; 95%CI, 0.63-0.98) and of clinical recurrence (hazard ratio, 0.76, <i>P</i> = 0.035) than were seen in the non-SNB group. <b>Conclusion:</b> The implementation of hybrid-SNB technique with ICG-<sup>99m</sup>Tc-nanocolloid in prostate cancer improves detection of positive nodes and potentially lowers recurrence rates with subsequent optimization of patient management, without harming patient safety."
21470,33721334,Oncologic outcomes among Black and White men with grade group 4 or 5 (Gleason score 8-10) prostate cancer treated primarily by radical prostatectomy,Cancer. 2021 May 1;127(9):1425-1431. doi: 10.1002/cncr.33419. Epub 2021 Mar 15.,Wilkins LJ,https://www.ncbi.nlm.nih.gov/pubmed/33721334,"BACKGROUND: The aim of this study was to describe pathologic and short-term oncologic outcomes among Black and White men with grade group 4 or 5 prostate cancer managed primarily by radical prostatectomy. METHODS: This was a multi-institutional, observational study (2005-2015) evaluating radical prostatectomy outcomes by self-identified race. Descriptive analysis was performed via nonparametric statistical testing to compare baseline clinicopathologic data. Univariable and multivariable time-to-event analyses were performed to assess biochemical recurrence (BCR), metastasis, cancer-specific mortality (CSM), and overall survival between Black and White men. RESULTS: In total, 1662 men were identified with grade group 4 or 5 prostate cancer initially managed by radical prostatectomy. Black men represented 11.3% of the cohort (n = 188). Black men were younger, demonstrated a longer time from diagnosis to surgery, and were at a lower clinical stage (all P < .05). Black men had lower rates of pT3/4 disease (49.5% vs 63.5%; P < .05) but higher rates of positive surgical margins (31.6% vs 26.5%; P = .14) on pathologic evaluation. There was no difference in BCR, CSM, or overall survival over a median follow-up of 40.7 months. Black men had a lower 5-year cumulative incidence of metastasis-free survival (93.6%; 95% confidence interval [CI], 86.5%-97.0%) in comparison with White men (85.8%; 95% CI, 83.1%-88.0%), which did not persist in an age-adjusted analysis. CONCLUSIONS: Black and White men with high-grade prostate cancer at diagnosis demonstrated similar oncologic outcomes when they were managed by primary radical prostatectomy. Our findings suggest that racial disparities in prostate cancer mortality are not related to differences in the efficacy of extirpative therapy."
21471,33539968,A Pooled Toxicity Analysis of Moderately Hypofractionated Proton Beam Therapy and Intensity Modulated Radiation Therapy in Early-Stage Prostate Cancer Patients,Int J Radiat Oncol Biol Phys. 2021 Jul 15;110(4):1082-1089. doi: 10.1016/j.ijrobp.2021.01.043. Epub 2021 Feb 1.,Vapiwala N,https://www.ncbi.nlm.nih.gov/pubmed/33539968,"PURPOSE: Data comparing moderately hypofractionated intensity modulated radiation therapy (IMRT) and proton beam therapy (PBT) are lacking. We aim to compare late toxicity profiles of patients with early-stage prostate cancer treated with moderately hypofractionated PBT and IMRT. METHODS AND MATERIALS: This multi-institutional analysis included patients with low- or intermediate-risk biopsy-proven prostate adenocarcinoma from 7 tertiary referral centers treated from 1998 to 2018. All patients were treated with moderately hypofractionated radiation, defined as 250 to 300 cGy per daily fraction given for 4 to 6 weeks, and stratified by use of IMRT or PBT. Primary outcomes were late genitourinary (GU) and gastrointestinal (GI) toxicity. Adjusted toxicity rates were calculated using inverse probability of treatment weighting, accounting for race, National Comprehensive Cancer Network risk group, age, pretreatment International Prostate Symptom Score (GU only), and anticoagulant use (GI only). RESULTS: A total of 1850 patients were included: 1282 IMRT (median follow-up 80.0 months) and 568 PBT (median follow-up 43.9 months). Overall toxicity rates were low, with the majority of patients experiencing no late GU (56.6%, n = 1048) or late GI (74.4%, n = 1377) toxicity. No difference was seen in the rates of late toxicity between the groups, with late grade 3+ GU toxicity of 2.0% versus 3.9% (odds ratio [OR] 0.47; 95% confidence interval 0.17-1.28) and late grade 2+ GI toxicity of 14.6% versus 4.7% (OR 2.69; confidence interval 0.80-9.05) for the PBT and IMRT cohorts, respectively. On multivariable analysis, no factors were significantly predictive of GU toxicity, and only anticoagulant use was significantly predictive of GI toxicity (OR 1.90; P = .008). CONCLUSIONS: In this large, multi-institutional analysis of 1850 patients with early-stage prostate cancer, treatment with moderately hypofractionated IMRT and PBT resulted in low rates of toxicity. No difference was seen in late GI and GU toxicity between the modalities during long-term follow-up. Both treatments are safe and well tolerated."
